2026-07-01 10:26:27,782 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v1/v2/auth/oauth2/token "HTTP/1.1 401 Unauthorized"
2026-07-01 10:28:04,217 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v1/v2/auth/oauth2/token "HTTP/1.1 401 Unauthorized"
2026-07-01 10:29:00,231 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:29:02,666 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:32:46,383 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:33:39,827 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:36:01,676 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:40:18,807 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:42:11,338 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:42:12,726 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:43:44,596 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:43:46,103 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:43:47,325 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:44:11,223 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 10:47:02,039 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:47:03,648 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:47:04,813 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:47:34,009 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-01 10:48:53,976 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:52:24,312 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:52:25,600 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:52:27,007 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:52:28,057 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.lightmetrics.co/v2/auth/oauth2/token "HTTP/1.1 200 OK"
2026-07-01 10:52:46,057 | httpx | INFO | RequestID: N/A | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
